titre,date_poste,date_fin,description,contrat,ville,pays,entreprise,langue
assistante de direction,2023-01-26 01:00:04,2023-03-19 16:40:43,"nous recrutons pour notre client, société basée à casablanca opérant dans la vente, l'installation et le service après-vente de matériels et dispositifs médicaux hospitaliers, dans le cadre de son développement une assistante de direction expérimentée.",CDI,casablanca,maroc,profils recrutement,fr
graphiste,2023-01-26 01:00:04,2023-03-19 16:45:13,"dama recrute pour le compte de soread 2m, un graphiste sur la ville de casablanca.. missions :. . s’occuper de toute la partie texte, des éléments aux quotidiens pour les news et la post-production. réaliser les génériques de fin des émissions en postproduction. fabriquer des images fixes ou animées. effectuer des recherches iconographiques. modifier, retravailler et transformer des images existantes pour les adapter à la demande et au besoin de la production. indexer les mots clés pour faciliter la recherche sur la base de données. établir des propositions pour la conception de la charte graphique. veiller au respect de la charte graphique de 2m. assurer le tournage des news aux quotidiens ainsi que les magazines d’informations. proposer des scénarios d’animations spécifiques pour améliorer la visibilité des émissions. veiller à l’habillage de la chaîne par l’élaboration de graphiques, bandeaux, 3d, cartes géographiques..",CDI,casablanca,maroc,dama,fr
"animatrice / vendeuse - , &",2023-01-26 01:00:04,2023-03-19 16:47:49,"pour l’un de ses clients opérant dans la grande distribution, tectra recrute des animatrices / vendeuses sur marjane - casablanca &amp; mohammadia.. autre :. . poste basé sur casablanca - grandes et moyennes surfaces : (ain sebaa, californie, sidi othmane, morocco mall, derb sultan, hay hassani, marina mall, ibn tachefine)..",Intérim,casablanca,maroc,tectra casa bourgogne ,fr
agent de recouvrement,2023-01-26 01:00:04,2023-03-19 17:09:45,nous recrutons pour notre client basé à casablanca un agent de recouvrement.. missions :. . intervenir à la gestion des créances clients..,Intérim,casablanca,maroc,tectra casa tertiaire ,fr
hôtesse d'accueil,2023-01-26 01:00:04,2023-03-19 17:08:35,"missions :. . accueillir les clients et les prospects du bureau de vente . remplir les fiches visites . gérer la file d’attente, organiser les rendez-vous et orienter les prospects vers les commerciaux . répondre au téléphone et assurer la qualification des prospects . élaboration des rapports, visites et appels selon les fiches préétablies . répondre aux demandes de renseignement..",Intérim,casablanca,maroc,tectra casa tertiaire ,fr
coordinateur logistique achats,2023-01-26 01:00:04,2023-03-19 17:54:21,"l’humain est au cœur de notre métier !. tectra est aujourd’hui leader du conseil en ressources humaines au maroc. avec plus de 1000 clients actifs multisectoriels et une force de réseaux de 27 agences partout dans le royaume, tectra vous accompagne dans votre recherche d’emploi. . pour l’un de ses clients, tectra recherche un coordinateur logistique achats à el jadida.",Intérim,el jadida,maroc,tectra el jadida ,fr
responsable showroom,2023-01-26 01:00:04,2023-03-14 16:49:27,"société basée à casablanca, spécialisée dans la distribution exclusive du fabricant belge et leader mondial des profilés et ornements décoratifs, est à la recherche d’un responsable showroom.. rôle et responsabilités :. . en charge de la vente de produits d’architecture d’intérieur : plinthes, moulures, panneaux 3d, corniches, éclairage indirect et ornement décoratif. accueillir les clients et identifier leurs besoins. prospection des professionnels de la décoration d’intérieur. traitement et qualification des demandes reçus via les différents canaux de communication. gestion du stock. établissement des devis et facturation..",CDI,casablanca,maroc,atires partners,fr
analyste développeur java/angular,2023-01-26 01:00:04,2023-03-19 11:46:18,"notre client, une esn installée à marrakech, recrute deux analystes développeurs java / angular.. missions :. . intervenir sur toutes les phases en amont et en aval du développement (analyse de besoin, conception, rédaction de spécifications, développement, tests, gestion des partenaires / sous-traitants) ;. travailler de manière collaborative avec les différents services au sein de l’entreprise ;. faire évoluer les applications existantes (refactoring, micro services, etc) ;. veille technologique..",CDI,marrakech,maroc,africawork,fr
team lead it,2023-01-25 01:00:04,2023-03-18 09:42:55,"notre client, une grande multinationale à casablanca, recrute dans le cadre de son développement son team lead it (système et réseaux).. missions :. . vous serez en charge de maintenir un support it de proximité, de qualité et dans les meilleurs délais.. . dans ce cadre, vous êtes chargés de :. . tracer et traiter les demandes et les incidents it remontés par les utilisateurs,. veiller à rendre toujours disponibles les infrastructures réseaux et serveurs locaux des sites,. assurer le maintien en conditions opérationnelles des matériels et des logiciels mis à la disposition des utilisateurs,. effectuer des sauvegardes nécessaires de façon régulière,. installer, configurer et administrer le parc informatique..",Intérim,casablanca,maroc,dekra services,fr
technicien informatique,2023-01-25 01:00:04,2023-03-18 09:43:35,"notre client, une grande multinationale industrielle, cherche dans le cadre de l’intérim, des techniciens informatiques. vous serez en charge de la maintenance software, l’installation des logiciels…etc..",Intérim,casablanca,maroc,dekra services,fr
chargé de recrutement,2023-01-25 01:00:04,2023-03-18 10:01:25,"une multinationale recherche pour son propre compte un chargé de recrutement.. missions :. . recrutement en masse (tri des cv, entretiens téléphoniques de présélection…).. administration (suivi des dossiers du personnel, vérification des dossiers des nouvelles recrues, relancer le manque de pièces justificatives, envoyer les dossiers pour la création des contrats). accueil téléphonique et physique des candidats. . . les candidatures sélectionnées sont soumises à un contrôle de référence.",CDI,casablanca,maroc,g4s,fr
conseillères de vente expérimentées en make up,2023-01-25 01:00:04,2023-03-18 12:09:40,nous recrutons pour notre client spécialisé dans la grande distribution des conseillères de vente expérimentées en make up sur casablanca - morocco mall.,Intérim,casablanca,maroc,tectra casa bourgogne ,fr
animateur commercial,2023-01-25 01:00:04,2023-03-18 14:26:08,. missions du poste :. . promouvoir les produits de l'entreprise et animer le réseau des détaillants dans la zone en charge. réaliser les actions commerciales. identifier les besoins des clients. collecter les informations concernant le marché et la concurrence. participer aux différentes manifestations organisées par ingelec. réaliser les actions d'écoute client. collecter les réclamations clients.. . salaire : 4 500 dhs net /mois. prime trimestrielle : allant jusqu’à 3000 dhs.. pour la ville :. . agadir : 2.,Intérim,agadir,maroc,tectra,fr
agent de sécurité,2023-01-25 01:00:04,2023-03-18 16:23:37,"poste proposé : agent de sécurité - salé. l’humain est au cœur de notre métier !. tectra est aujourd’hui leader du conseil en ressources humaines au maroc. avec plus de 1000 clients actifs multisectoriels et une force de réseaux de 27 agences partout dans le royaume, tectra vous accompagne dans votre recherche d’emploi. . pour l’un de ses clients, opérant dans le secteur de restauration collective, tectra recherche un agent de sécurité - salé. missions principales :. . surveiller les secteurs sous sa responsabilité.. vérifier les accès aux structures.. patrouiller dans les secteurs surveillés.. exercer des activités de surveillance vidéo.. surveiller les comportements suspects.. intervenir en cas de besoin.. alerter les forces de l'ordre et les secours, si nécessaire.. conserver un registre détaillé des activités effectuées.. rédiger le journal de sécurité pour signaler les événements survenus (anomalies, incidents, etc.).",Intérim,salé,maroc,tectra agence sidi maarouf,fr
pompiste,2023-01-25 01:00:04,2023-03-18 16:24:09,"poste proposé : pompiste - salé . l’humain est au cœur de notre métier !. tectra est aujourd’hui leader du conseil en ressources humaines au maroc. avec plus de 1000 clients actifs multisectoriels et une force de réseaux de 27 agences partout dans le royaume, tectra vous accompagne dans votre recherche d’emploi. . pour l’un de ses clients, opérant dans le secteur de restauration collective, tectra recherche un pompiste avec une 1ère expérience similaire dans le même poste - salé . missions principales . . distribuer le carburant aux automobilistes, motards et routiers et s’occupe de la caisse.. gérer l’aspect administratif de la station.. effectuer des petits travaux.. gérer l’approvisionnement des stocks..",Intérim,salé,maroc,tectra agence sidi maarouf,fr
inventoriste,2023-01-25 01:00:04,2023-03-18 17:03:54,"nous aurons besoin d'intégrer pour un client 2 inventoristes, avec les compétences et les qualités (exigences) ci-dessous :. missions :. -assurer l’inventaire quotidiennement. -assurer les moves et la consolidation des cartons pour l’optimisation des emplacements. -assurer le rangement des cartons. -compter les articles de l'entrepôt (une seule activité) . -vérifier la qualité des articles et écarter les éléments endommagés. -veiller à la bonne application des règles et consignes de sécurité.",Intérim,mohammedia,maroc,maroc force emploi,fr
nettoyeur de voiture et vidange,2023-01-25 01:00:04,2023-03-18 17:10:55,"poste proposé : nettoyeur de voiture et vidange - salé. l’humain est au cœur de notre métier !. tectra est aujourd’hui leader du conseil en ressources humaines au maroc. avec plus de 1000 clients actifs multisectoriels et une force de réseaux de 27 agences partout dans le royaume, tectra vous accompagne dans votre recherche d’emploi. . pour l’un de ses clients, opérant dans le secteur de restauration collective, tectra recherche un nettoyeur de voiture et vidange - salé.. missions principales :. . laver la carrosserie avec la main.. laver l’intérieur et l’extérieur du véhicule. nettoyer et laver les tapis et autres surfaces avec les produits désignés à cet effet.. lustrer les pneus et les jantes avec les produits appropriés.. nettoyer le moteur du véhicule.. effectuer le pressing intérieur des moquettes, tissus, tapis.. réaliser le vidange des véhicules.. avoir de bonnes notions en mécanique.",Intérim,salé,maroc,tectra agence sidi maarouf,fr
make up artist,2023-01-25 01:00:04,2023-03-18 17:30:55,nous recrutons pour notre client spécialisé dans le retail de luxe des make up artist sur casablanca - morocco mall.,CDD,casablanca,maroc,tectra casa bourgogne ,fr
technicien de découpe de viande en contrat d'intérim,2023-01-25 01:00:04,2023-03-18 17:34:56,nous recrutons pour notre client spécialisé dans la grande distribution 2 techniciens de découpe de viande en contrat d'intérim.. missions :. . la découpe des viandes.. .,Intérim,casablanca,maroc,tectra casa bourgogne ,fr
agent bureau des méthodes en intérim,2023-01-25 01:00:04,2023-03-18 18:06:03,nous recrutons pour le compte de notre client spécialisé dans la fabrication des enseignes son agent bureau des méthodes en intérim en construction métallique et pose alucobond.. .,Intérim,casablanca,maroc,tectra casa bourgogne ,fr
secrétaire avec niveau bac,2023-01-25 01:00:04,2023-03-18 18:06:52,nous recrutons pour notre client spécialisé dans son domaine une secrétaire avec un niveau bac sur casablanca - chimicolor.,Intérim,casablanca,maroc,tectra casa bourgogne ,fr
contrôleur caisse,2023-01-24 01:00:02,2023-03-17 09:33:09,"votre mission :. . le contrôleur caisse veille au bon fonctionnement d’une ligne de caisse ou d’un groupe de caisses. il supervise l’organisation et les opérations d’encaissement (gestion des fonds de caisse, transferts de fonds, suivi et contrôle des flux financiers...) tout en veillant au respect des procédures. . . le contrôleur caisse aura pour principales missions de :. . contrôler l'application des procédures d'encaissement et de gestion des fonds de caisse. contrôler les caisses. installer ou organiser la mise en place des fonds de caisse. contrôler les résultats du secteur de la caisse et les écarts. remonter à la direction les informations de son secteur. faire évoluer l'organisation et les procédures.. .",CDI,casablanca,maroc,nation sportive,fr
technico-commercial sédentaire,2023-01-24 01:00:02,2023-03-17 09:34:31,"nous recrutons pour l’un de nos clients, spécialisé en matériel électrique, d’automatisme et d’instrumentation, un technico-commercial sédentaire en électrotechnique.. missions principales : - identifier les besoins du client - définir la solution technique liée aux projets du client - conseiller le client dans le choix des produits - établir des devis selon le besoin du client - suivre les devis - assurer le suivi des commandes - monter une maquette de présentation technique.",CDI,casablanca,maroc,tectra,fr
commercial pour la prospection chantiers porte à porte,2023-01-24 01:00:02,2023-03-17 09:37:21,nous recrutons un commercial pour la prospection chantiers porte à porte sur casablanca.,CDI,casablanca,maroc,maroc force emploi,fr
commercial pour le réseau revendeurs,2023-01-24 01:00:02,2023-03-17 09:37:56,nous recrutons un commercial pour le réseau revendeurs sur casablanca,CDI,casablanca,maroc,maroc force emploi,fr
vidéaste,2023-01-24 01:00:02,2023-03-17 10:24:40,"missions :. . concevoir et réaliser des moodboards. la réalisation (captation, montage, post production) des contenus (photos et vidéos) pour les réseaux sociaux (reels instagram, facebook youtube)* reportages photos (intérieur/extérieur). gérer, coordonner et faire le suivi d’un projet vidéo.",CDI,casablanca,maroc,akdital holding,fr
responsable achats - agroalimentaire,2023-01-24 01:00:02,2023-03-17 11:55:20,"une grande structure qui opère dans le secteur de l'industrie agroalimentaire recherche un responsable achats. le poste est basé à casablanca.. missions :. - définir des orientations stratégiques (investissements, équipements, spécialisation…,) - élaborer ou faire évoluer les procédures de gestion des achats - définir et suivre les objectifs de performance des achats, analyser les résultats et identifier des axes de progrès - négociation de contrats - mettre en place les modalités de suivi des fournisseurs pour proposer des axes d'évolution - suivre et mettre à jour les informations professionnelles et réglementaires.",CDI,casablanca,maroc,artus,fr
infirmière polyvalente de travail - daroua,2023-01-24 01:00:02,2023-03-17 12:32:31,"une grande structure opérant dans le secteur de l'industrie agroalimentaire recherche une infirmière polyvalente de travail, dotée d’une expérience de plus de 5 ans dans un poste similaire. le poste est basé à daroua - casablanca.. missions :. . organiser, gérer, et prodiguer les premiers soins aux patients. analyser les besoins de la personne en soin, afin d’établir un diagnostic et d’adapter sa prise en charge. réaliser et gérer le dossier de soin, étant le support de travail unique pour l’équipe pluridisciplinaire en charge du patient. gérer la partie administrative, c’est-à-dire les transmissions, les admissions, le planning des soins, …. avoir le rôle d’accompagnateur auprès du malade..",CDI,daroua - casablanca,maroc,artus,fr
ingénieur méthode,2023-01-24 01:00:02,2023-03-17 15:23:34,"nous recrutons pour une grande industrie à casablanca, un ingénieur méthode qui aura pour mission :. . participer à la mise à jour des données statiques de l’erp . garantir la mise à jour des nomenclatures, des gammes et des postes de charge. assurer la création et la mise à jour des dossiers techniques et des fiches suiveuses. assurer la création des chiffrages et les valider. assurer l’encadrement des équipes gdt, méthodes et chiffrages. maintenir à jour la base de données des outillages. définir le plan de contrôle et de maintenance des outillages et s’assure de leur suivi. participer aux réunions d’analyse et proposer des améliorations de l’industrialisation. piloter les actions d’amélioration continue et proposer les plans d’action de productivité en concertation avec les responsables des opérations et le responsable excellence opérationnelle..",CDI,casablanca,maroc,job plus,fr
chef de partie cuisine,2023-01-24 01:00:02,2023-03-17 15:38:01,"l’humain est au cœur de notre métier !. tectra est aujourd’hui leader du conseil en ressources humaines au maroc. avec plus de 1000 clients actifs multisectoriels et une force de réseaux de 27 agences partout dans le royaume, tectra vous accompagne dans votre recherche d’emploi.. pour l’un de ses clients, dans le secteur hôtelier, tectra recherche un chef de partie cuisine, à marrakech.. missions :. . réaliser les plats, dresser les assiettes et les envoyer au service en salle.. gérer les approvisionnements et les stocks et veiller particulièrement à la qualité des produits utilisés.. organiser et vérifier le travail des commis cuisine.. application des règles d'hygiène et de sécurité alimentaire..",Intérim,marrakech,maroc,tectra marrakech – hôtellerie,fr
réceptionniste,2023-01-24 01:00:02,2023-03-17 16:03:16,"l’humain est au cœur de notre métier !. tectra est aujourd’hui leader du conseil en ressources humaines au maroc.. avec plus de 1000 clients actifs multisectoriels et une force de réseaux de 27 agences partout dans le royaume, tectra vous accompagne dans votre recherche d’emploi.. pour l’un de ses clients, dans le secteur hôtelier, tectra recherche des réceptionnistes expérimentés sur marrakech.. missions :. . accueillir les clients à leurs arrivées.. présenter les prestations de l'établissement.. effectuer les modalités administratives du séjour.. remettre aux clients la clé de leur chambre.. établir la facturation et encaisser leur règlement.. check in / check out..",Intérim,marrakech,maroc,tectra marrakech – hôtellerie,fr
technicien amélioration continue,2023-01-24 01:00:02,2023-03-17 16:18:00,"nous recrutons pour notre client un technicien amélioration continue qui aura pour mission :. . identifier les acteurs, leurs fonctions, leurs responsabilités, leurs relations.. déterminer les projets fondamentaux et définir les priorités avec la direction.. analyser les indicateurs de performance, les données et les problématiques métiers.. auditer la performance des moyens de production existants.. recenser les modes et les circuits de fonctionnement, les temps de réalisation.. .",CDI,casablanca,maroc,job plus,fr
chargé d’accueil polyvalent,2023-01-24 01:00:02,2023-03-17 17:25:22,"nous recrutons un chargé d’accueil polyvalent.. principales missions :. . accueillir le public, identifier les demandes et orienter . assister à l'organisation des événements (réception, lunch hebdomadaire, event corpo...) . réceptionner et traiter les appels téléphoniques courants (gestion du standard) : émettre, recevoir et transférer les appels, prendre des messages, informer et orienter vers le bon interlocuteur . assister à la gestion des commandes fournisseurs pour le matériel du bureau (devis, commande) . assister à la gestion des achats et stocks de fournitures bureau . assister à la gestion technique des locaux et équipements . gérer le planning et l'organisation des salles de réunions . éditer les présentations (impressions, reliures…) . assister à la gestion du planning des coursiers . assister à la gestion de la caisse . assister à la gestion des frais de déplacement du ceo &amp; coo..",CDI,casablanca,maroc,armonia facilities,fr
chauffeur transport scolaire - mission 15 jrs,2023-01-24 01:00:02,2023-03-17 18:03:50,tectra recrute pour son client sur mohammedia ; une école de renommée un chauffeur transport scolaire avec expérience.. rémunération : 150 dh / jr. mission : 15 jrs. avantages sociaux : mutuelle + cnss.,Intérim,mohammedia,maroc,tectra mohammedia ,fr
soudeur en intérim - ouled saleh,2023-01-24 01:00:02,2023-03-17 09:32:21,nous recrutons pour notre client spécialisé dans la fabrication des pièces mécaniques des soudeurs semi-automatique et baguette.,Intérim,ouled saléh - bouskoura,maroc,tectra casa bourgogne ,fr
technicien maintenance,2023-01-21 01:00:05,2023-03-14 11:11:58,"missions :. rattaché au responsable maintenance, vos principales missions seront :. . la réalisation de la maintenance corrective : intervention active en cas de panne : proposition de solutions corrective pour réduire les temps d’arrêt.. rédaction des procédures de maintenance.. réalisation de maintenance préventive : suivi des plannings. mise en place des indicateurs de maintenance : taux d’arrêt, taux de service machine, suivi préventif et tous autres indicateurs nécessaires à l’amélioration de notre parc machines.. création de dossier de vie machine pour la traçabilité et le suivi.. participation active avec le responsable maintenance à la mise en place de la gmao.. participation active à l’installation des nouveaux équipements.. . transport non assuré",CDI,bouskoura,maroc,sepalumic,fr
technicien systèmes et réseaux pour la gestion d’un parc it,2023-01-21 01:00:05,2023-03-14 11:10:33,"missions :. . maintenir les équipements actifs de la salle it et des futures salles des sites du groupe.. effectuer l’installation, l’exploitation, le monitoring, la maintenance et l’administration des serveurs et des réseaux lan/wifi.. monitorer et administrer les systèmes de stockage et de sauvegarde/restauration.. installer, monitorer, maintenir à jour et assurer la fluidité des environnements applicatifs bureautiques et métiers.. administrer les différents éléments de sécurité du si (pare-feu, mécanismes/équipements d’authentification, solution de recherche de vulnérabilité, antivirus…). gérer l’annuaire active directory/gpo pour assurer le suivi et l’administration des droits.. garantir la mise à jour et la bonne tenue des procédures d’exploitation et de la documentation descriptive du système d’information et des réseaux.. gérer le parc machines, imprimantes, serveurs et équipements réseaux, les contrats de maintenance et le portefeuille de licences logicielles (en partie grâce à l’outil pdq).. développer et assurer le plan de continuité de l’activité.. support niveau i &amp; ii aux utilisateurs, la masterisation des postes de travail est essentielle.. coordonner les intervenants et assurer la relation avec les différents partenaires extérieurs et les équipes de la dsi france.. garantir l’entretien et la complétude de la cartographie informatique des différents sites du groupe..",CDI,bouskoura,maroc,sepalumic,fr
valet de chambre,2023-01-21 01:00:05,2023-03-14 17:23:40,nous recrutons pour le compte de notre client hôtel 5* des valets de chambre / équipiers ayant une expérience de 2 ans et plus dans un poste similaire.. .,Intérim,casablanca,maroc,tectra casa tertiaire ,fr
chef de rang,2023-01-21 01:00:05,2023-03-14 17:24:22,"pour le compte d'un hôtel 5 étoiles basé à casablanca, nous sommes à la recherche d'un chef de rang..",Intérim,casablanca,maroc,tectra casa tertiaire ,fr
hôtesse d'accueil hôtel 5*,2023-01-21 01:00:05,2023-03-14 17:33:00,"pour le compte d'un restaurant de luxe basé à casablanca, nous sommes à la recherche des hôtesses d'accueil hôtel 5 etoiles.",Intérim,casablanca,maroc,tectra casa tertiaire ,fr
commis de cuisine,2023-01-21 01:00:05,2023-03-14 17:33:28,nous recrutons pour le compte de notre client basé restaurant de luxe basé à casablanca des commis de cuisine.,Intérim,casablanca,maroc,tectra casa tertiaire ,fr
délégué-commercial,2023-01-21 01:00:05,2023-03-14 15:30:06,"adecco recrute à agadir et région, un délégué-commercial pour le compte d'une société spécialisée dans la vente des agrofournitures.. mission : . . préparer les visites de la journée (fiche de l'agriculteur, tarifs…) . faire la promotion des gammes de produits et applique les tarifs fixés.. assurer la prospection de nouveaux clients et entretenir son portefeuille de clients.. accompagnement des agriculteurs dans l'utilisation des produits et contrôle sur place le bon déroulement des opérations.. réaliser un soutien technique sur demande à la suite d'une difficulté.. assurer un appui technique et initiative de résoudre efficacement les problèmes auprès des agriculteurs. couvrir la vente de produits &amp; d'approvisionnements. appliquer la politique commerciale de son groupe et gère le recouvrement.. remonter les informations sur ces activités au responsable commercial.. analyser les systèmes d'exploitation..",CDI,agadir,maroc,adecco,fr
femme de chambre,2023-01-21 01:00:05,2023-03-14 17:22:43,"pour le compte d'un hôtel de luxe basé à casablanca, nous sommes à la recherche des femmes de chambre..",Intérim,casablanca,maroc,tectra casa tertiaire ,fr
manager restaurant,2023-01-21 01:00:05,2023-03-14 10:36:55,"nous recrutons pour notre client basé à marrakech un manager restaurant.. missions :. encadrement : . . il encourage les initiatives de chacun pour un véritable épanouissement professionnel et personnel . anime et coordonne l’ensemble des équipes . établi et coordonne le programme de formation de l’équipe de gestion . s’assure que les politiques et la réglementation du travail soient respectées . prépare le planning des responsables d’équipes et des assistants . . gestion : . . il dynamise les ventes de son restaurant par un marketing local : opérations promotionnelles, publicité sur le lieu de vente, animations commerciales . analyse le compte de résultat et met en place des actions correctives . vérifie l’ensemble des rapports de comptes mensuels . élabore les objectifs à moyen et long terme . pilote l’ensemble des recrutements et promotions internes . . terrain : . . supervise la bonne marche opérationnelle du restaurant dans son ensemble . s’assurer de la meilleure qualité de service offerte aux clients . garanti le niveau de qualité et de propreté du restaurant à tout moment . supervise l’exécution des activités de marketing local et celles liées aux programmes nationaux . garanti le respect des normes de sécurité .",CDI,marrakech,maroc,tectra casa tertiaire ,fr
risk manager,2023-01-21 01:00:05,2023-03-14 10:40:49,"activités principales :. . surveiller et analyser en permanence les risques,. produire le reporting y afférent et valider les ratios prudentiels ;. mettre en place et déployer la cartographie des risques opérationnels en coordination avec l’entité du contrôle permanent et les entités concernées de la banque, et proposer les actions nécessaires pour la maîtrise des risques identifiés ;. piloter et animer la mise en place du pca ;. superviser la collecte des incidents, les pré-valider et suivre la mise en œuvre des mesures correctives y afférentes ;. mettre à jour le corpus documentaire risque ;. mettre en place les outils de notation et scoring, et assurer leur back-testing.. .",CDI,casablanca,maroc,bank al yousr,fr
stagiaire pfe amoa,2023-01-21 01:00:05,2023-03-14 11:09:51,"vous êtes passionnés par les métiers du secteur bancaire, en cette fin d'année, bank al yousr lance sa campagne de recrutement spéciale stagiaire pfe pour l’année 2023.. nous proposons un stage dans le domaine organisation / amoa / management, aide à la décision / innovation / gestion de projet.. nos équipes seront disponibles pour vous accompagner dans cette expérience et la rendre plus enrichissante..",Stage,casablanca,maroc,bank al yousr,fr
assistante administrative,2023-01-21 01:00:05,2023-03-14 11:16:59,"vos missions :. - gestion des appels d'offres.. - répondre aux appels téléphoniques et la gestion de mailing. - accueillir les clients et les orienter. - la gestion des rdv. - le classement et la saisie des documents. - établir les devis et les factures. - effectuer la frappe de documents, le traitement du courrier et la gestion des messages électronique",CDD,casablanca,maroc,adecco,fr
chargé de recrutement,2023-01-21 01:00:05,2023-03-14 16:54:57,"missions :. . analyse des besoins de l’entreprise en termes de nouveaux salariés ;. la rédaction des offres d’emploi pour attirer les candidats adéquats ;. la réception des cv et leur tri en fonction des postes qui sont à pourvoir ;. l’organisation des entretiens d’embauche, aussi bien téléphoniques que physiques ;. la création d’entretiens de sélection complémentaires, tels que des mises en situations ou encore des tests ;. l’organisation de l’accueil du nouveau salarié dans l’entreprise et sa formation..",CDI,casablanca,maroc,n.c.,fr
chauffeur de direction motorisé,2023-01-21 01:00:05,2023-03-14 17:22:12,nous recherchons un chauffeur de direction motorisé pour conduire le véhicule du directeur général d'une grande entreprise sur casablanca,CDI,casablanca,maroc,atires partners,fr
technicien polyvalent en hôtellerie,2023-01-21 01:00:05,2023-03-14 17:26:00,"nous recrutons pour le compte de notre client, un hôtel 5* basé à casablanca, un technicien polyvalent en hôtellerie.. missions :. . contrôle, surveille et entretient régulièrement les équipements. diagnostique les éventuels dysfonctionnements sur les équipements. organise et programme les activités et opérations de maintenance. détecte l’origine d’une panne. intervient en cas de panne et/ou coordonne les équipes. propose des solutions pour optimiser sécurité et performance des matériels. maîtrise les logiciels de gestion de maintenance assistée par ordinateur. transfère et capitalise l’information. respecte les règles de sécurité.",Intérim,casablanca,maroc,tectra casa tertiaire ,fr
hôte / hôtesse,2023-01-21 01:00:05,2023-03-14 17:38:43,"envie d’intégrer une multinationale et de vous investir au sein d’une équipe dynamique et performante ?. le cabinet de recrutement tectra recrute dans différentes villes du maroc, pour le compte de son client qui opère dans le secteur de distribution et de commercialisation des produits tabac, des hôtes / hôtesses (h/f) à casablanca.. le dynamisme et le sens du relationnel sont des qualités requises pour mener à bien vos missions.. vous assurerez diverses missions sur terrain :. . interaction directe avec les fumeurs adultes dans le cadre des activités promotionnelles.. collecte de données et d’informations auprès des clients potentiels.. délivrance des messages de manière claire et précise aux fumeurs adultes..",Intérim,casablanca,maroc,tectra agence sidi maarouf,fr
archivistes en intérim,2023-01-21 01:00:05,2023-03-14 17:55:35,nous recrutons pour le compte de notre client spécialisé dans le secteur hôtelier des archivistes en intérim.. missions :. . le classement et l'archivage des dossiers administratifs.. .,Intérim,casablanca,maroc,tectra casa bourgogne ,fr
agents niveau bac+2 en textile confection,2023-01-21 01:00:05,2023-03-14 18:15:54,nous recrutons pour le compte de notre client spécialisé dans la grande industrie des agents niveau bac+2 en textile confection pour faire le triage des carreaux..,Intérim,casablanca,maroc,tectra casa bourgogne ,fr
contrôleur permanent,2023-01-21 01:00:05,2023-03-14 12:57:21,"nous recrutons pour le compte d’un de nos clients, un contrôleur permanent sur agadir.. missions :. . maintenir à jour le système de contrôle interne de l'entreprise et renforcer son efficacité.. mettre en place des outils et indicateurs de suivi d'efficacité du dispositif de contrôle interne.. contrôler les résultats du secteur de la caisse, détecter les anomalies et les écarts.. sensibiliser les opérationnels sur les anomalies détectées lors des contrôles.. consolider la base des incidents.. contribuer à la rédaction des rapports à destination des instances externes de contrôle.. contrôler la conformité des justificatifs de paiement par rapport aux procédures.. analyse et traitement quotidien des alertes de filtrage des opérations à l’international tout en veillant au respect des embargos commerciaux et financiers internationaux.. analyse et traitement quotidien des alertes de filtrage des personnes politiquement exposées (ppe) et les personnes listées (sanctions internationales).. extraire, analyse et traitement quotidien des alertes lab-ft générées par l’outil de profilage et de surveillance des opérations siron aml, les requêtes préconfigurées data warehouse.. remonter à la direction les informations du secteur.. faire évoluer l’organisation et les procédures..",Intérim,agadir,maroc,dama,fr
contrôleur permanent,2023-01-21 01:00:05,2023-03-14 12:56:35,"nous recrutons pour le compte d’un de nos clients, un contrôleur permanent sur la ville de laayoune.. missions :. . maintenir à jour le système de contrôle interne de l'entreprise et renforcer son efficacité.. mettre en place des outils et indicateurs de suivi d'efficacité du dispositif de contrôle interne.. contrôler les résultats du secteur de la caisse, détecter les anomalies et les écarts.. sensibiliser les opérationnels sur les anomalies détectées lors des contrôles.. consolider la base des incidents.. contribuer à la rédaction des rapports à destination des instances externes de contrôle.. contrôler la conformité des justificatifs de paiement par rapport aux procédures.. analyse et traitement quotidien des alertes de filtrage des opérations à l’international tout en veillant au respect des embargos commerciaux et financiers internationaux.. analyse et traitement quotidien des alertes de filtrage des personnes politiquement exposées (ppe) et les personnes listées (sanctions internationales).. extraire, analyse et traitement quotidien des alertes lab-ft générées par l’outil de profilage et de surveillance des opérations siron aml, les requêtes préconfigurées data warehouse.. remonter à la direction les informations du secteur.. faire évoluer l’organisation et les procédures..",Intérim,laâyoune,maroc,dama,fr
